filename,category,source,source_url,suggested_use,note
01_logo/pepe_verde_logo_original.jpg,logo,Cliente / fonte autorizada,,"Header, footer, favicon/source reference",Logo original recebido em baixa resolução; pedir SVG/PDF vetorial para produção.
01_logo/pepe_verde_logo_clean_cream.png,logo,Derivado do logo original recebido,,Uso temporário em mockups/frontend,Versão limpa criada anteriormente; não substitui ficheiro vetorial oficial.
01_logo/pepe_verde_logo_clean_green.png,logo,Derivado do logo original recebido,,Uso temporário em mockups/frontend,Versão limpa criada anteriormente; não substitui ficheiro vetorial oficial.
02_menu_original/menu_01_pizza_pt.jpg,menu,Cliente / fonte autorizada,,Referência para construir menu digital e backend,Usar como fonte visual/conteúdo; confirmar preços antes de publicar.
02_menu_original/menu_02_antipasti_pt.jpg,menu,Cliente / fonte autorizada,,Referência para construir menu digital e backend,Usar como fonte visual/conteúdo; confirmar preços antes de publicar.
02_menu_original/menu_03_pizza_en.jpg,menu,Cliente / fonte autorizada,,Referência para construir menu digital e backend,Usar como fonte visual/conteúdo; confirmar preços antes de publicar.
02_menu_original/menu_04_antipasti_en.jpg,menu,Cliente / fonte autorizada,,Referência para construir menu digital e backend,Usar como fonte visual/conteúdo; confirmar preços antes de publicar.
99_originais_fontes/restaurantguru_interior_collage_original.jpg,original,Restaurant Guru,https://img02.restaurantguru.com/c55f-Pepe-Verde-Ericeira-interior.jpg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/restaurantguru_food_dishes_collage_original.jpg,original,Restaurant Guru,https://img02.restaurantguru.com/c5da-Restaurant-PIZZERIA-PEPE-VERDE-ERICEIRA-dishes.jpg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/restaurantguru_design_lifestyle_collage_original.jpg,original,Restaurant Guru,https://img02.restaurantguru.com/c844-Restaurant-Pizzeria-Pepe-Verde-Ericeira-design.jpg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/restaurantguru_pizza_collage_original.jpg,original,Restaurant Guru,https://img02.restaurantguru.com/c1af-Restaurant-Pizzeria-Pepe-Verde-Ericeira-pizza-4.jpg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_pizza_closeup_basil_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1486153.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_vegan_pizza_mushrooms_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1445015.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_mushroom_salad_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_1445016.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_garlic_bread_plate_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_2226755.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_vegan_pizza_slice_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_2226756.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
99_originais_fontes/happycow_two_vegan_pizzas_table_original.jpeg,original,HappyCow,https://images.happycow.net/venues/1024/26/60/hcmp266043_3150231.jpeg,Arquivo original de fonte pública/autorizada,Mantido para rastreabilidade.
